,tweet
32,"@KarenKook15 Son 10, aún no esta para Netflix Latinoamerica pero la puedes encontrar en otras páginas"
33,"@NetflixLAT Tío Netflix, para cuando Duckman con el doblaje latino original?"
34,Es la 3era vez q quiero ponjer algo en netflix y pateo la play y la apago pero q pelotuda dios mio
35,"RT @AlejandraIV: Me corto netflix, ahora si se termino!!!"
36,RT @EnginAkyurekRD: Fotos muy merecidas por todo el fandom ❤👏💃💃💃 #EnginAkyürek #TolgaSarıtaş #YolunAçıkOlsun #Netflix https://t.co/B9Kgu35C…
37,Saben si buscando a Nemo está en Netflix o Amazon. 🤔
38,"Yo iba a aprovechar para ir a tomar mates y leer al sol.
Pero la ciudad de volvió loca. Así que Netflix and Fiaca. https://t.co/8Y2zeCvPZD"
39,El día se presta para estar acostada y mirar netflix.
40,"RT @monstersngeeks: Cómo era de esperarse, el cómic co-creado por #KeanuReeves dará el salto a otros medios y Netflix hará una película liv…"
41,RT @_valsarmiento: soy adicta a los documentales de netflix
42,"RT @EAPortoRiko: New ~ Yeni ~ Nueva
Finalizando grabaciones de la película nuestro galán #EnginAkyürek junto a sus compañeros 
@tolgasarita…"
43,"@lopezdoriga @lopezdoriga , me parece que no es documental pero recomiendo Los Últimos Zares, está en Netflix, saludos"
44,"RT @oscar_contardo: Las iglesias evangélicas argentinas quieren censurar a la escritora Claudia Piñeiro, guionista de la serie El Reino. La…"
45,"RT @ithanasilvia1: @lopezdoriga ""El cuerpo humano: un mundo entrañable"" está en NETFLIX simplemente maravilloso.👌🏻 https://t.co/8q9g9BskGo"
46,@Superfluowow Mira que está en Netflix... https://t.co/ghh4Yzfvc1
47,podrian poner a yoli de opcion de icon en netflix https://t.co/L70y43GmRi
48,"Qué depresion.. Y me tienen harta con las tipas peladas. Tipas peladas en las publicidades, tipas peladas en las se… https://t.co/ByQ3Snyfwp"
49,"Eli, la película de Netflix que salió hace ya vas dos años. Había visto comentarios muy buenos sobre la película pe… https://t.co/dlTATi5Sia"
50,Cuando no le quiero contestar a alguien me meto a netflix y pues de ahí no hay quien me saque😂
51,"RT @oscar_contardo: Las iglesias evangélicas argentinas quieren censurar a la escritora Claudia Piñeiro, guionista de la serie El Reino. La…"
52,RT @iEsteusuario: ⓘ Este usuario quiere Mimir con vos abrazados y ver Netflix
53,"@Jon_ElNolasco el secreto está en no rendirse y seguir aprendiendo, pronto te veremos en netflix, por favor enseñal… https://t.co/AbiI6abrKb"
54,"@TELMEXSoluciona @Telmex
Disculpen estoy teniendo un problema con el internet solo con el celular, algunas aplicaci… https://t.co/FGI2SadlFM"
55,"Con esto del Nuevo Rico, Nuevo Pobre se confirma que Netflix se convirtió el Focus group de Caracol.

La pereza men… https://t.co/P2JGOlYwxg"
56,"Pensando en darme de alta en Netflix sólo para ver esta película.
https://t.co/LfSV1o8LLE"
57,"RT @memo_1704: @elpaisuy El cable tiene que agradecerle al Fútbol, sino fuera por éste ya estarían fundidos. Surge un Netflix de fútbol y R…"
58,“La reina del flow 2” Capítulo 77: Titano intenta matar a Yeimy Montoya https://t.co/go8To0KmU1
59,Descubre quién ha estado usando tu cuenta de Netflix https://t.co/N7usE9s0dc
60,🎥🎞️ La nueva cinta de Claudia Llosa tendrá su estreno mundial en la 69 edición del Festival de Cine de San Sebastiá… https://t.co/JMwJGw6hqj
61,estoy viendo control z en netflix y me esta gustando muchísimo
62,"RT @Jorgeee13_: “¡Menudo 2021 te espera!”
Prota de una serie musical en netflix, saca su ep, el cual llegó al top 10 con 6 canciones y much…"
63,"bendito apple tv+ siempre sabe lo que quiero ver, no como tú netflix que solo me ofreces series fomes"
64,"Ando viendo una serie bien cool de una cineasta de pelis de horror que se llama Nuevo sabor a cereza en Netflix, ay véanla 🖤"
65,"RT @JohnAnzola: Si están buscando algo para ver, les recomiendo el documental “Para Sama”, sobre la caída de Alepo (Siria), y la tragedia d…"
66,¿El fandom de Rebelde Netflix - cuando se estrene - se sumará al de RBD? ¿O habrá rivalidad? 👀
67,@CevansMajo Creo que la suben el otro mes a Netflix jejejeje
68,@IboCelikkolLat @ModeVa16 Espero q no pero pienso q hasta septiembre no empezarán a darnos contenido...!! igual q N… https://t.co/1Lo9gtqFtA
69,Los servidores de #streaming siguen añadiendo contenido original a sus catálogos. Esto es lo más sonado del momento… https://t.co/92vmk9WQzJ
70,¿Sin plan para el sábado? En #Lecturas te traemos tres películas de #Netflix que te salvarán la mejor noche de la s… https://t.co/MaMbLkhUM3
71,"Vista Todo va a estar bien. Premisa polémica (hipsters divorciados viviendo juntos), buena dirección de Luna, afila… https://t.co/Ckw4SmIUAb"
72,Netflix tendría que sacar un ranking de las películas más pausadas.
73,"Ni Netflix, ni Prime, ni HBO tienen la película que quiero ver, luego que por qué me las pirateo :C"
74,"Tarde de Netflix, súper seguro ☔️"
75,Luka ya no me deja ver ni las noticias. Yo prendo la tele y el me roba el control y pone YouTube o Netflix. 😭👶🏻… https://t.co/vkYcGbgXy2
76,"Después de meses encontré una película en Netflix , buena. 

Sweet Girl."
77,@demimoore___ la vi en netflix con vpn porq solo está en netflix d estados unidos igual deben haber más páginas q l… https://t.co/e8pOqtKu6j
78,@maureencecilia @oaaguilo @oscar_contardo También en netflix?
79,Con este clima solo quiero estar acostada y ver series en Netflix 📈📈
80,"RT @MallorcaBlanca: Los que no tenéis ilusión con el Real Madrid, mañana a las 22:00 podéis poner Netflix."
81,... #CineHistórico #LeonTrotsky  Konstantin Khabensky lo caracterizó en la controversial miniserie biográfica rusa… https://t.co/CIYYPukyFJ
82,"RT @Chaposoto: ¿Alguien preguntó por una serie espeluznante?

Échenle un ojo a esta. Qué Netflix ni que la chingada... 🤬"
83,¿Alguien con ganas de discord + Netflix/Disney/Amazon esta noche?
84,Se antoja ver Netflix con este huracán https://t.co/xXZNIfeO3W
85,Quería verme una peli y mi hermana no pago el netflix quede 🤡
86,@July_Latorre Demuestra lo que son. Además de ser pésimo en guión y actuaciones. Lo peor de Netflix y un claro ejem… https://t.co/oJzDNyFSgJ
87,"@AnaWhiteCh Hola Capitana! Por ahora no mucho xD... desearia tener mi PS4 aqui para distraerme. Por ahora Netflix, YouTube o Disney +"
88,Estoy tranquila acostada mirando todas las películas y series qué hay en Netflix pero en realidad debería estar est… https://t.co/dEf56lHFv4
89,"RT @Silithur: Necesito un día de chill tumbadito viendo Netflix, así que hoy descansito, prometo que no aparezco a la noche con un LEGO gig…"
90,"La película El inconformista  en Netflix, demuestra la verdad en Afganistán"
91,@FunesCartagena El régimen dictatorial de Nicaragua no te deja ver Netflix que te pones a ver el faro que pobre est… https://t.co/JcN1YwfNJJ
92,"@frases_de_otro @HBOMaxLA Tengo todas las aplicaciones y a ninguna le pasa eso... 
netflix, disney, amazon... solo… https://t.co/OGaBFWcMM2"
93,"@lopezdoriga En Netflix ""Cómo se convirtieron en tiranos"""
94,@Caritotulindabb Te espero para ver netflix.? 😏
95,"RT @levmauc: A un mes de que Netflix estrene MIDNIGHT MASS, la nueva serie del director de THE HAUNTING OF HILL HOUSE. La serie se centrará…"
96,"RT @__mlndz__: Pusieron el tercer season de Manifest en Netflix, al fin coño"
97,"RT @levmauc: A un mes de que Netflix estrene MIDNIGHT MASS, la nueva serie del director de THE HAUNTING OF HILL HOUSE. La serie se centrará…"
98,@StefanaPac Sabéis cuando la ponen en netflix? Gracias!!
99,"RT @MallorcaBlanca: Los que no tenéis ilusión con el Real Madrid, mañana a las 22:00 podéis poner Netflix."
